product_id,symbol,min_trade_size(最小交易量),quote_increment(计价货币精度),base_increment(交易货币精度)
587,ardr_btc,1,0.00000001,0.00010000
588,egt_okb,1,0.00001000,0.00000001
589,xas_btc,0.1,0.00000001,0.00010000
590,xas_eth,0.1,0.00000001,0.00010000
591,xas_usdt,0.1,0.00000001,0.00010000
592,cvt_btc,1,0.00000001,0.00100000
593,cvt_eth,1,0.00000001,0.00100000
594,cvt_usdt,1,0.00001000,0.00100000
595,egt_btc,1,0.00000001,0.00010000
596,egt_eth,1,0.00000001,0.00010000
597,egt_usdt,1,0.00001000,0.00010000
598,zco_btc,1,0.00000001,0.00010000
599,zco_eth,1,0.00000001,0.00010000
600,bcn_okb,10,0.00001000,0.00000001
601,bcn_btc,10,0.00000001,0.00000001
602,bcn_usdt,10,0.00001000,0.00000001
603,let_okb,1,0.00001000,0.00000001
604,testa_testb,0.001,0.00000001,0.00000001
605,let_btc,1,0.00000001,0.00000001
606,let_eth,1,0.00000001,0.00000001
607,let_usdt,1,0.00001000,0.00000001
608,cit_okb,1,0.00001000,0.00000001
609,testc_testb,0.001,0.00000001,0.00000001
